ID,Pincode,City,District,State
477,141123,Ludhiana,Ludhiana,PUNJAB
478,141125,Ludhiana,Ludhiana,PUNJAB
479,141126,Ludhiana,Ludhiana,PUNJAB
480,141127,Ludhiana,Ludhiana,PUNJAB
481,141201,Ludhiana,Ludhiana,PUNJAB
482,141202,Ludhiana,Ludhiana,PUNJAB
483,141203,Ludhiana,Ludhiana,PUNJAB
484,141204,Jagraon,Ludhiana,PUNJAB
485,141205,Ludhiana,Ludhiana,PUNJAB
486,141206,Ludhiana,Ludhiana,PUNJAB
487,141401,Khanna,Ludhiana,PUNJAB
488,141411,Khamanon,Fatehgarh Sahib,PUNJAB
489,141412,Khanna,Ludhiana,PUNJAB
490,141413,Ludhiana,Ludhiana,PUNJAB
491,141414,Khanna,Ludhiana,PUNJAB
492,141415,Ludhiana,Ludhiana,PUNJAB
493,141416,Ludhiana,Ludhiana,PUNJAB
494,141417,Khanna,Ludhiana,PUNJAB
495,141418,Ludhiana,Ludhiana,PUNJAB
496,141419,Ludhiana,Ludhiana,PUNJAB
497,141421,Khamanon,Fatehgarh Sahib,PUNJAB
498,141422,Jagraon,Ludhiana,PUNJAB
499,141801,Khamanon,Fatehgarh Sahib,PUNJAB
500,142001,Moga,Moga,PUNJAB
501,142002,Moga,Moga,PUNJAB
502,142003,Moga,Moga,PUNJAB
503,142011,Moga,Moga,PUNJAB
504,142021,Ludhiana,Ludhiana,PUNJAB
505,142022,Ludhiana,Ludhiana,PUNJAB
506,142023,Jagraon,Ludhiana,PUNJAB
507,142024,Jagraon,Ludhiana,PUNJAB
508,142025,Jagraon,Ludhiana,PUNJAB
509,142026,Jagraon,Ludhiana,PUNJAB
510,142027,Ludhiana,Ludhiana,PUNJAB
511,142029,Ludhiana,Ludhiana,PUNJAB
512,142030,Jagraon,Ludhiana,PUNJAB
513,142031,Ludhiana,Ludhiana,PUNJAB
514,142032,Ludhiana,Ludhiana,PUNJAB
515,142033,Ludhiana,Ludhiana,PUNJAB
516,142034,Jagraon,Ludhiana,PUNJAB
517,142035,Jagraon,Ludhiana,PUNJAB
518,142036,Jagraon,Ludhiana,PUNJAB
519,142037,Moga,Moga,PUNJAB
520,142038,Baghapurana,Moga,PUNJAB
521,142039,Moga,Moga,PUNJAB
522,142040,Moga,Moga,PUNJAB
523,142041,Moga,Firozpur,PUNJAB
524,142042,Dharakot,Moga,PUNJAB
525,142043,Moga,Moga,PUNJAB
526,142044,Zira,Firozpur,PUNJAB
527,142045,Baghapurana,Moga,PUNJAB
528,142046,Nihal Singh Wala,Moga,PUNJAB
529,142047,Zira,Firozpur,PUNJAB
530,142048,Moga,Moga,PUNJAB
531,142049,Baghapurana,Moga,PUNJAB
532,142050,Feroeepur,Firozpur,PUNJAB
533,142052,Ferozepur,Firozpur,PUNJAB
534,142053,Moga,Moga,PUNJAB
535,142054,Moga,Moga,PUNJAB
536,142055,Nihal Singh Wala,Moga,PUNJAB
537,142056,Baghapurana,Moga,PUNJAB
538,142057,Baghapurana,Moga,PUNJAB
539,142058,Moga,Moga,PUNJAB
540,142060,Ferozepur,Firozpur,PUNJAB
541,143001,Amritsar,Amritsar,PUNJAB
542,143002,Amritsar -I,Amritsar,PUNJAB
543,143003,Amritsar -I,Amritsar,PUNJAB
544,143005,Amritsar -I,Amritsar,PUNJAB
545,143006,Amritsar,Amritsar,PUNJAB
546,143008,Amritsar -I,Amritsar,PUNJAB
547,143009,Amritsar -I,Amritsar,PUNJAB
548,143022,Amritsar,Amritsar,PUNJAB
549,143101,Ajnala,Amritsar,PUNJAB
550,143102,Ajnala,Amritsar,PUNJAB
551,143103,Amritsar,Amritsar,PUNJAB
552,143105,Amritsar,Amritsar,PUNJAB
553,143107,Amritsar,Amritsar,PUNJAB
554,143108,Amritsar,Amritsar,PUNJAB
555,143109,Ajnala,Amritsar,PUNJAB
556,143110,Ajnala,Amritsar,PUNJAB
557,143111,Amritsar,Amritsar,PUNJAB
558,143112,Amritsar,Amritsar,PUNJAB
559,143113,Amritsar,Amritsar,PUNJAB
560,143114,Amritsar,Amritsar,PUNJAB
561,143115,Amritsar,Amritsar,PUNJAB
562,143116,Amritsar,Amritsar,PUNJAB
563,143117,Amritsar,Amritsar,PUNJAB
564,143118,TARN-TARAN,Tarn Taran,PUNJAB
565,143119,Amritsar- II,Amritsar,PUNJAB
566,143149,Amritsar,Amritsar,PUNJAB
567,143201,Baba Bakala,Amritsar,PUNJAB
568,143202,Baba Bakala,Amritsar,PUNJAB
569,143203,Amritsar,Amritsar,PUNJAB
570,143204,Amritsar,Amritsar,PUNJAB
571,143205,Amritsar,Amritsar,PUNJAB
572,143301,Amritsar,Amritsar,PUNJAB
573,143302,Amritsar,Amritsar,PUNJAB
574,143303,Bhikhiwind,Amritsar,PUNJAB
575,143304,Amritsar,Amritsar,PUNJAB
576,143305,Amritsar,Amritsar,PUNJAB
577,143401,N/A,Tarn Taran,PUNJAB
578,143406,Amritsar,Amritsar,PUNJAB
579,143407,Amritsar,Amritsar,PUNJAB
580,143408,Amritsar,Tarn Taran,PUNJAB
581,143409,Amritsar,Amritsar,PUNJAB
582,143410,Amritsar,Amritsar,PUNJAB
583,143411,Amritsar,Amritsar,PUNJAB
584,143412,Amritsar,Tarn Taran,PUNJAB
585,143413,Bundala,Amritsar,PUNJAB
586,143414,Amritsar,Amritsar,PUNJAB
587,143415,Amritsar,Amritsar,PUNJAB
588,143416,Amritsar,Amritsar,PUNJAB
589,143419,Amritsar,Amritsar,PUNJAB
